Nonce,Roll,,Unhashed Server Seed:413ddb49e5892778443a2072bb7af6731cfc6004c213a6570fcfd142d223f030,Client Seed:thatseedfuckingsucked%$^@2123
0,64.21
1,62.63
2,49.25
3,33.08
4,70.07
5,66.47
6,30.8
7,30.57
8,75.14
9,72.08
10,30.74
11,90.35
12,42.84
13,73.78
14,76.88
15,31.86
16,64.18
17,78.94
18,89.26
19,97.4
20,72.42
21,77.37
22,60.42
23,27.06
24,12.94
25,13.78
26,92.08
27,13.15
28,79.62
29,26.7
30,76.92
31,76.16
32,28.03
33,24.04
34,62.56
35,29.32
36,65.04
37,18.76
38,53.52
39,34.74
40,20.15
41,29.63
42,87.12
43,4.74
44,9.27
45,8.35
46,39.3
47,11.64
48,13.17
49,62.08
50,62.0
51,13.53
52,62.24
53,22.03
54,28.5
55,9.31
56,54.79
57,12.99
58,74.9
59,53.36
60,30.43
61,58.05
62,40.73
63,67.52
64,70.51
65,64.75
66,58.5
67,98.57
68,42.8
69,95.69
70,77.69
71,68.38
72,24.64
73,60.1
74,65.2
75,75.76
76,99.24
77,58.72
78,28.96
79,80.89
80,45.97
81,40.53
82,4.74
83,17.87
84,78.64
85,26.19
86,62.58
87,57.11
88,96.31
89,27.55
90,72.54
91,74.21
92,2.42
93,19.5
94,0.62
95,31.23
96,70.51
97,56.81
98,31.17
99,35.26
100,17.93
101,11.85
102,37.8
103,13.79
104,15.1
105,19.16
106,59.09
107,83.43
108,39.24
109,74.8
110,49.28
111,5.7
112,81.43
113,24.53
114,85.19
115,37.15
116,3.27
117,24.27
118,82.55
119,11.86
120,84.84
121,72.15
122,58.73
123,71.2
124,58.99
125,99.02
126,81.89
127,64.93
128,44.59
129,0.04
130,30.25
131,91.23
132,82.15
133,47.6
134,46.14
135,18.28
136,88.61
137,40.09
138,28.9
139,28.91
140,88.31
141,2.14
142,58.99
143,15.2
144,88.07
145,3.32
146,70.24
147,29.56
148,70.21
149,8.36
150,39.25
151,68.04
152,24.66
153,81.09
